link_wine,titulo,comentario_sommelier,preco_total,preco_associado,desconto,tipo,uvas,pais,regiao,vinicola,teor_alcoolico,amadurecimento,classificacao,visual,aroma,gustativo,temperatura_servico,potencial_guarda,harmonizacao,quantidade_avaliacoes,nota
https://www.wine.com.br/vinhos/champagne-moet-chandon-nectar-imperial/prod4194.html,Champagne Moët & Chandon Nectar Impérial,"Aroma intenso e rico em frutas tropicais, tais como manga, abacaxi, ameixas e damasco, com nuances de baunilha. Elegante, fresco e muito cremoso. É o Champagne mais ousado e inesperado da Moët & Chandon.",609.89,518.41,15.0,Espumante,"Pinot Noir (45%), Pinot Meunier (35%), Chardonnay (20%)",França,Champagne,Moët & Chandon,12.00% ABV,Método Champenoise,,Amarelo com reflexos dourados.,"Frutas tropicais, tais como manga, abacaxi, ameixa e damasco, com leves notas de baunilha.","Elegante, frutado, muito cremoso e fresco.",11 °C,,"Pratos da culinária chinesa, indiana e tailandesa, queijos azuis, peixes assados, canapés variados, entradas diversas e sobremesas.",2.0,3.0
https://www.wine.com.br/vinhos/porto-burmester-30-years-old-tawny/prod14721.html,Porto Burmester 30 years Old Tawny,"O Porto Burmester 30 years Old Tawny foi elaborado a partir de vinhos de colheitas de diversos anos para garantir a complementariedade dos aromas e sabores. O estágio dos lotes em cascos de carvalho ocorreu em tempos variados, com média de 30 anos.  Um vinho com pontuações altas: 94 pontos de Robert Parker e 90 pontos da Wine Enthusiast.",585.9,498.02,15.0,Licoroso,Castas tradicionais no Douro,Portugal,Douro,Burmester,20.00% ABV,Longo amadurecimento em cascos de carvalho (média de 30 anos).,Suave/Doce,Amarelo dourado com reflexos âmbar,"Frutas secas, amêndoas, nozes, mel, tosta","Aveludado, doce, complexo, caramelo, frutas secas, final longo",14 °C,50 anos,"Torta com nozes e amêndoas, pratos com chocolate meio amargo ou amargo, frutas secas e cristalizadas. Vinho de meditação, vai bem como aperitivo ou para fechar a refeição.",1.0,5.0
https://www.wine.com.br/vinhos/espumante-chandon-reserve-brut-6-1-/prod18452.html,Espumante Chandon Réserve Brut (6+1),"Chandon Réserve Brut é frutado, mostra notas florais, e delicado aroma de pão fresco. A elegância garantida pelo frescor e a perlage fina envolvem a boca e associam-se às notas de frutas cítricas e secas. A Chandon do Brasil evidencia a finesse e a expressão dos espumantes nacionais elaborados pelo método Charmat. Aproveite!",-1.0,-1.0,,Espumante,"Riesling Itálico (35%), Pinot Noir (35%), Chardonnay (30%)",Brasil,Serra Gaúcha,Chandon Brasil,11.80% ABV,Em contato com as borras finas (Método Charmat),Brut,Amarelo claro com reflexos dourados.,"Frutas cítricas, flores, frutas secas e delicado aroma de pão fresco","Fresco, equilibrado, média persistência, e confirma as notas de frutas cítricas e secas.",8 °C,5 anos,"Ostras frescas, saladas, culinária japonesa, fettuccine com frutos do mar, peixe grelhado, risoto de camarão.",20.0,4.5
https://www.wine.com.br/vinhos/moet-ice-imperial-rose-750-ml/prod17233.html,Moët Ice Impérial Rosé 750 Ml,"Cremoso, frutado, com boa acidez e doçura presente, esse exemplar possui aroma de frutas vermelhas como cereja e amora, com delicadas notas de figo. Elaborado pelo método tradicional e assinado pela renomada e nobre Moët & Chandon, esse rótulo é o primeiro e único champagne vinificado em rosé desenvolvido especialmente para ser apreciado com gelo. Essa nova e moderna experiência na degustação de um champagne, proporciona ainda mais frescor e combina muito com o clima do Brasil.",558.0,474.3,15.0,Espumante,"Pinot Noir, Pinot Meunier, Chardonnay",França,Champagne,Moët & Chandon,12.00% ABV,Sobre as borras finas.,Meio Seco/Demi-Sec,Cereja claro.,"Frutas vermelhas como cereja e amora, com delicadas notas de figo.","Cremoso, frutado, com boa acidez e doçura presente.",10 °C,4 anos,"Risoto de tomate seco e mussarela de búfala, lombo ao molho de frutas vermelhas, carpaccio de salmão, camarões grelhados, frutos do mar à provençal, casquinha de siri.",1.0,5.0
https://www.wine.com.br/vinhos/champagne-moet-chandon-imperial-brut/prod4192.html,Champagne Moët & Chandon Impérial Brut,"Símbolo da Möet & Chandon desde 1869, o Möet Impérial é a mais completa expressão do estilo dessa casa de Champagne. Elaborado com um blend com mais de 100 vinhos diferentes, sendo que cerca de 30% são de vinhos de reserva, esse exemplar expressa requinte, elegância e complexidade. Champagne pontuado por Vinous e Wine & Spirits.",552.9,469.97,15.0,Espumante,"Chardonnay, Pinot Meunier, Pinot Noir",França,Champagne,Moët & Chandon,12.00% ABV,Em garrafa sobre as borras finas.,Brut,Amarelo-claro com reflexos dourados,"Maçã verde, pêssego, pera, flores brancas, brioche, nozes, cítrico ","Estruturado, boa presença, cremoso, boa acidez, notas de brioche",10 °C,8 anos,"Vieiras empanadas, folhado de salmão, codorna recheada, moqueca capixaba, risoto de camarão, ostras frescas. ",2.0,5.0
https://www.wine.com.br/vinhos/champagne-montaudon-brut-magnum-/prod9057.html,Champagne Montaudon Brut Magnum.,"Montaudon é uma tradicional casa de Champagne fundada em 1891, tem fama e prestígio internacional. Os vinhos dessa maison tem aroma marcado por fruta fresca, com notas de mel e torradas. É possível sentir as borbulhas delicadas encherem a boca com muito sabor e elegância. É seco, cremoso e refrescante com ótima persistência.",529.9,450.42,15.0,Espumante,"Pinot Noir (40%), Pinot Meunier (35%), Chardonnay (25%)",França,Champagne,Maison Montaudon,12.00% ABV,Mínimo de 2 anos nas caves.,,"Amarelo palha, com borbulhas finas e delicadas e perlage persistente.","Frutas frescas, mel e torradas.","Cremoso, volumoso, refrescante, seco e elegante.",9 °C,3 anos,"O Champagne vai bem com quase tudo, mas as melhores harmonizações são as ostras, o caviar, o salmão defumado e até mesmo frutas assadas com sorvete de creme formam o par perfeito.",5.0,3.5
https://www.wine.com.br/vinhos/champagne-jacquart-rose-brut/prod6363.html,Champagne Jacquart Rosé Brut,"O paladar elegante, cremoso, frutado e refrescante deste exemplar, se completa com o aroma de pêssego, damasco e leves notas de pão integral. Elaborado pela primeira Maison de Champagne e integrante do renomado grupo Alliance, a Maison Jacquart possui um dos maiores domínios de vinhas plantadas na região. Saboroso e versátil, o Champagne Jacquart Brut Rosé conquista os paladares mais exigentes e é indispensável nos momentos especiais.",411.44,279.78,32.0,Espumante,"Pinot Noir, Pinot Meunier, Chardonnay",França,Champagne,Jacquart,12.50% ABV,Método Champenoise.,Brut,Acobreado brilhante com perlage delicada e persistente.,"Pêssego, damasco, com leves notas de pão integral.","Elegante, cremoso, frutado e refrescante.",7 °C,5 anos,"Tartar de peixe com azeite trufado, camarões empanados, peixe branco grelhado com purê de mandioquinha, canapés, comida oriental, risoto de cogumelos.",3.0,3.5
https://www.wine.com.br/vinhos/winebox-w-explorer-series/prod18683.html,WineBox W Explorer Series,"Uma linha exclusiva composta por seis vinhos elaborados por grandes vinícolas dos melhores terroirs do mundo! Viva essa experiência! Itália, França, Espanha, Portugal, Argentina e Chile expressam o melhor da sua viticultura em rótulos intensos e de alta qualidade, feitos para a Wine. Cecchi, Maison Bouachon, Barahonda, Quinta do Crasto, Las Perdices e Calyptra são as produtoras dos exemplares especiais da W Series. Aproveite!",402.0,341.7,15.0,,,,,Wine.com.br,,,,,,,,,,20.0,4.5
https://www.wine.com.br/vinhos/pueblo-del-sol-seleccion-de-barricas-gran-reserva-2015/prod20653.html,Pueblo del Sol Selección de Barricas Gran Reserva 2015,"Esse potente tinto traz a Tannat, uva emblemática do Uruguai mesclada com a Merlot, a Cabernet Sauvignon e a Cabernet Franc. Com uma produção que possui garrafas limitadas, este Gran Reserva é o resultado de uma rigorosa seleção de barricas.",399.0,305.24,23.0,Tinto,"Merlot, Cabernet Sauvignon, Cabernet Franc, Tannat",Uruguai,Canelones,Pueblo del Sol,12.50% ABV,De 16 a 20 meses em barricas de carvalho,Seco,Rubi intenso,"Frutas vermelhas maduras, tostado, cacau, especiarias","Corpo de médio para encorpado, taninos presentes, boa acidez, amadeirado",16 °C,8 anos,"Risoto com mix de cogumelos, paleta de cordeiro, maminha com crosta de parmesão, escalope com purê de inhame, talharim ao funghi com jamón, gratin de batatas com embutidos.",1.0,4.0
https://www.wine.com.br/vinhos/familia-deicas-domaine-castelar-vineyard-tannat-2016/prod20654.html,Familia Deicas Domaine Castelar Vineyard Tannat 2016,"Este intenso tinto que traz a uva emblemática do Uruguai é elaborado com a supervisão de Paul Hobbs, um renomado enólogo norte-americano que já assinou vinhos tidos como sucessos mundiais.",399.0,298.45,25.0,Tinto,Tannat (100%),Uruguai,Canelones,Familia Deicas,13.50% ABV,"12 meses, sendo 35% em barricas de carvalho de segundo uso e 65% em tanques de concreto. ",Seco,Rubi intenso,"Frutas negras maduras, amadeirado, pimenta, figo, ervas finas","Potente, taninos presentes, boa acidez, amadeirado, final longo",16 °C,8 anos,"Salada de bifum e pato, linguiça de cordeiro, bife ancho, matambre recheado com queijo, pappardelle com tiras de filé-mignon e gorgonzola, ossobuco com legumes grelhados.",2.0,5.0
https://www.wine.com.br/vinhos/champagne-jacquart-mosaique-rose-brut/prod14557.html,Champagne Jacquart Mosaïque Rosé Brut,"O aroma de groselha, cereja, morango e ameixa, se mescla com as leves notas de pão, resultantes da segunda fermentação em garrafa. O paladar fresco, frutado e cremoso, possui um saboroso toque de pêssego e damasco. Produzido há 40 anos pelo Maison Jacquart, o primeiro de Champagne, o Champagne Jacquart Rosé Mosaïque teve seu rótulo reformulado para celebrar todo o seu sucesso. Integrante da famosa linha Mosaïque, que expressa os vinhedos divididos entre os melhores terroirs da região, esse exemplar encanta com sua tonalidade, elegância, tradição e qualidade.",398.28,338.54,15.0,Espumante,"Chardonnay, Pinot Meunier, Pinot Noir",França,Champagne,Jacquart,12.50% ABV,Método Tradicional (Segunda fermentação em garrafa).,Brut,Salmão. Perlage fina e delicada.,"Groselha, cereja, morango e ameixa, com leves notas de pão. ","Fresco, frutado, cremoso, com notas de pêssego e damasco. ",8 °C,4 anos,"Ostras gratinadas, fettuccine com camarão, carpaccio de salmão, risoto de parmesão, casquinha de siri, bruschetta de tomate com queijo brie. ",3.0,4.5
https://www.wine.com.br/vinhos/ropiteau-freres-nuits-st-georges-rouge-2014-/prod20282.html,Ropiteau Frères Nuits-St-Georges Rouge 2014.,"A Pinot Noir, grande estrela da Denominação de Origem Controlada Nuits-Saint-Georges, mostra a qualidade das uvas colhidas por lá, neste exemplar. As vinhas estendem pelas encostas suaves, que permitem que elas aproveitem ao máximo a exposição ao sol.",520.0,442.0,15.0,Tinto,Pinot Noir (100%),França,Nuits-Saint-Georges,Ropiteau Frères,12.50% ABV,"Vinificado em tonéis de carvalho, e amadurecido por 14 a 16 meses em barricas, sendo 20% novas.",Seco,Rubi,"Frutas vermelhas, tosta, terroso, especiarias","Médio corpo, taninos macios, boa acidez",15 °C,9 anos,"Coq au vin, paella, espaguete com polpetone, risoto de linguiça fresca, salmão grelhado, codorna recheada.",1.0,4.0
https://www.wine.com.br/vinhos/almaviva-epu-2015-/prod18615.html,Almaviva EPU 2015.,"Tinto rico em aromas, apresenta notas de frutas como groselha negra, cereja e amora, sobre toques de chocolate amargo, tabaco, anis e caramelo, além de traços minerais. Em boca é encantador, sedoso, fresco, com corpo entre médio e encorpado, mostrando uma deliciosa integração entre os aromas frutados e os provenientes do carvalho, com longo final. Epu significa o número dois, na língua do povo Mapuche, o que se justifica pelo fato deste vinho ser elaborado conforme o mesmo conceito dos segundos vinhos dos renomados châteaux franceses, tendo suas uvas provenientes do mesmo vinhedo do Almaviva. Trata-se de um exemplar de raro refinamento, e extremamente exclusivo devido a sua produção limitada.",499.0,424.15,15.0,Tinto,"Cabernet Sauvignon (77%), Cabernet Franc (6%), Merlot (5%), Carménère (12%)",Chile,Puente Alto,Almaviva,14.50% ABV,12 meses em barricas de carvalho francês.,Seco,Rubi intenso,"Groselha negra, amora, cereja, chocolate amargo, tabaco, anis, caramelo, mineral","Corpo de médio para encorpado, fresco, taninos sedosos, frutado, tostado, final persistente",16 °C,10 anos,"Ancho na parrilla, risoto de funghi porcini, cordeiro ao coulis de menta, pappardelle com ragu de ossobuco, assado de tira com arroz de amêndoas, e queijos duros.",19.0,5.0
https://www.wine.com.br/vinhos/domaines-henri-maire-vin-jaune-a-o-c-arbois-blanc-2009/prod17511.html,Domaines Henri Maire Vin Jaune A.O.C. Arbois Blanc 2009,"Vinho branco com encantadores aromas de maçã assada, frutas cristalizadas, com notas condimentadas, de nozes e mel. Seu paladar é misterioso, envolvente e traz sabores de frutas secas, nozes, toque de curry, maçã verde; possui médio corpo, é complexo, com acidez agradável, final persistente, exuberante e untuoso. É próximo à fronteira com a Suíça, na parte leste da França, que esse exemplar ganha vida. ´´Vin Jaune´´ significa vinho amarelo e é produzido com a uva autóctone da região, a branca Savagnin. De vinificação diferenciada e única, seu amadurecimento é realizado em barricas porosas e o líquido fica em contato com uma flor de leveduras, a fim de controlar a oxidação necessária, que garante todo o diferencial do vinho.",489.5,416.08,15.0,Branco,Savagnin (100%),França,Arbois,Domaines Henri Maire,14.50% ABV,Mínimo de 6 anos em barricas de carvalho francês.,Seco,Amarelo dourado.,"Maçã assada, frutas cristalizadas, curry, açafrão, nozes, mel.","Frutas secas, nozes, curry, maçã verde, médio corpo, complexo, acidez agradável, final persistente, exuberante, untuoso.",15 °C,10 anos,"Pode ser apreciado sozinho, como vinho de meditação, ou com os seguintes pratos: Pad Thai, porco chinês, gougères, bruschetta de cogumelos, escargot com manteiga de ervas, queijos como Comté, gorgonzola ou roquefort.",2.0,1.0
https://www.wine.com.br/vinhos/domaine-de-baronarques-blanc-2016/prod19475.html,Domaine de Baronarques Blanc 2016,"O único branco produzido pelo Domaine Baronarques, que elabora apenas três exemplares, esse vinho é produzido com uvas de uma pequena e específica parcela de vinhedo. Com potencial de envelhecimento, barricas com diferentes graus de uso foram utilizadas no amadurecimento desse rótulo, aumentando a sua complexidade de aromas e sabores. Essa safra foi pontuada com 91 pela Wine Spectator.",489.4,415.99,15.0,Branco,Chardonnay (100%),França,Limoux ,Domaine de Baronarques,13.50% ABV,"Em barricas novas de carvalho (40%), de segundo uso (40%) e de terceiro uso (20%).",Seco,Amarelo-claro,"Pera, pêssego, flores brancas, mel, amadeirado, baunilha, tosta, especiarias","Complexo, suculento, corpo de médio para encorpado, boa acidez, final longo",10 °C,8 anos,"Ostras frescas, lombo de bacalhau com crosta de amêndoas, lagosta gratinada, pappardelle com frutos do mar, camarões na taça com molho cítrico, queijos moles maturados. ",1.0,2.0
https://www.wine.com.br/vinhos/kit-10-taste-prime/prod23146.html,Kit 10 Taste Prime,,-1.0,-1.0,,,,,,Wine.com.br,,,,,,,,,,6.0,4.5
https://www.wine.com.br/vinhos/champagne-jacquart-brut-rose-mosaique/prod16397.html,Champagne Jacquart Brut Rosé Mosaique,"Com aromas de frutas vermelhas como framboesa, groselha, cereja e morango, com nuances de brioche, esse exemplar possui um paladar fresco, frutado, cremoso, bom corpo, com notas de pêssego e damasco. Elaborado pelo método tradicional, que consiste na segunda fermentação dentro da própria garrafa, o Champagne Jacquart Mosaïque Rosé é assinado pela Maison Jacquart, uma das mais antigas e renomadas casas de Champagne. Destacando alta qualidade e tradição, esse rótulo encanta com sua tonalidade, elegância e cremosidade.",379.62,258.15,32.0,Espumante,"Pinot Noir (45%), Chardonnay (34%), Pinot Meunier (21%)",França,Champagne,Jacquart,12.50% ABV,Amadurece sobre as borras de 3 a 4 anos,Brut,Rosa claro,"Framboesa, groselha, cereja, morango, brioche","Fresco, frutado, cremoso, pêssego, damasco, bom corpo, final persistente ",8 °C,4 anos,"Ostras gratinadas, fettuccine com camarão, carpaccio de salmão, risoto de parmesão, casquinha de siri, bruschetta de tomate com queijo brie.",4.0,5.0
https://www.wine.com.br/vinhos/pinhal-da-torre-protagonista-2013/prod21084.html,Pinhal da Torre Protagonista 2013,"Esse tinto português da safra 2013 mostra ainda muita vivacidade e pode ser guardado por alguns anos. O blend de Syrah, Touriga Franca e Alicante Bouschet foi elaborado com a expertise da Pinhal da Torre, vinícola mais reconhecida da região de Tejo, em Portugal. Foi pontuado com 92 pontos por Robert Parker.",372.9,316.97,15.0,Tinto,"Touriga Franca , Alicante Bouschet, Syrah",Portugal,Tejo,Pinhal da Torre,14.00% ABV,Em barricas de carvalho francês.,Meio Seco/Demi-Sec,Rubi intenso,"Frutas vermelhas maduras, cacau, especiarias, defumado, café","Encorpado, taninos macios, amadeirado, boa acidez",16 °C,12 anos,"Lombo de cordeiro ao molho rotie de amora, ossobuco com polenta, bisteca bovina com legumes, queijos duros, picanha à espanhola, shiitake recheado.",1.0,2.0
https://www.wine.com.br/vinhos/beni-di-batasiolo-muscatel-tardi-d-o-c-piemonte-moscato-passito-2011-375-ml/prod14639.html,Beni di Batasiolo Muscatel Tardì D.O.C. Piemonte Moscato Passito 2011 375 ml,"Vinho de sabor persistente, doce, estruturado, intenso e com notas de mel. Passitos são vinhos de sobremesa elaborados através de um método chamado Passerillage, que consiste na secagem natural das uvas após a sua colheita. Assim, após a evaporação da água contida nas uvas, sobra o açúcar, que ressalta seus sabores.",365.9,233.27,36.0,Branco,Moscato Bianco (100%),Itália,Piemonte,Beni di Batasiolo,12.00% ABV,Fermenta em barricas de carvalho francês por 8 semanas,Suave/Doce,"Intenso amarelo com reflexos dourados, claro e brilhante.","Figos secos, mel, ameixas, damasco e pêssego em calda, flor de laranjeira, flores secas e nuance almiscarada.","Persistente, doce, estruturado, intenso e com notas de mel. ",8 °C,5 anos,"Zabaglione, pastel de Belém, panna cotta de café, Crepe de banana com sorvete de creme, foie-gras com queijo de cabra e queijos salgados.",1.0,4.0
